talkNo,title,content,content_date,comments
978405,쿠팡 일용직 급여 들어오셨나요? (이천2) 악플 자제;,25일 오후에 일한 급여가 아직 않들어 왔는데다른분들은 들어왔나 싶어서요오후 6시이전에는 거진 들어오는데생각보다 늦어서;연휴껴서 지급이 늦는건가 싶기도하고..다른분들은 들어오셨나요?,2025-01-31 18:03,"[{""comment_date"": ""2025-01-31 18:15"", ""comment_text"": ""연휴 였으니까 좀 기다려보세요""}, {""comment_date"": ""2025-01-31 18:15"", ""comment_text"": ""저도 일요일 오후조 근무 했는데 아직도 안들어오네요ㅠ""}, {""comment_date"": ""2025-01-31 18:16"", ""comment_text"": ""연휴 껴서 조금 늦을 수가 있으니 기다려 보세요...""}, {""comment_date"": ""2025-01-31 18:16"", ""comment_text"": ""답변 넘나 감사드립니다ㅎ""}, {""comment_date"": ""2025-01-31 18:21"", ""comment_text"": ""방금 들어왔네요ㅎ""}, {""comment_date"": ""2025-01-31 18:37"", ""comment_text"": ""컬리 아직 안들어왔는데ㅜㅜ""}, {""comment_date"": ""2025-01-31 19:09"", ""comment_text"": ""어여 들어오기를 컬리가 입금이 늦나보더라구여ㅜ""}]"
978403,신한카드 미납콜센터 근무 어떤가요?,신한카드 미납콜센테에 근무 관련해서올라오는게 없어서요많이 힘든가요?,2025-01-31 17:52,"[{""comment_date"": ""2025-01-31 17:52"", ""comment_text"": ""카드값 내라는데 좋아할 수 없죠 지가 써놓고 안썼다고 우겨요""}, {""comment_date"": ""2025-01-31 18:02"", ""comment_text"": ""많이힘든가요를 않붙이면. 게시판에. 글을못쓰나 다들에효""}, {""comment_date"": ""2025-01-31 18:54"", ""comment_text"": ""근무해봤습니다 팀장들이 실적으로 엄청 스트레스주고요\n통화자체도 욕도 많이 먹기때문에 멘탈 약하신분은 못해요\n팀장들이 신카본사정직원들인데 완전 콧대높아서 계약직깔봐요  9-6 라고는하지만 콜많은날은 점심시간도 안주고 화장실도 안보내주고 실적안되면 8-7하는날도 많구요\n쉬운일은 아닙니다 영업아니라곤하시면 실시간으로 전국센터 서로 비교해가며 엄청 쪼아요 그런스트레스 신경안쓴다면 할만하구요 친절하게 상담할필요는없어서 그런점은 좋아요 무뚝뚝하게 통화해되요""}]"
978401,아니 쿠팡 심야조 확정문자 이시간까지안오면,걍마감인거임? 마감문자도 안왓는데 이러다늦게확정문자오면 버스탈시간 ㅈㄴ애매해지는데,2025-01-31 17:40,"[{""comment_date"": ""2025-01-31 17:54"", ""comment_text"": ""네 저도 그래요\n마감된거라고 생각하고 다른 알바 찾는게 정답이에요""}, {""comment_date"": ""2025-01-31 18:41"", ""comment_text"": ""마감된거죠""}]"
978400,나이스 평가정보 알바 해본사람!,있나여?,2025-01-31 17:34,"[{""comment_date"": ""2025-01-31 17:51"", ""comment_text"": ""흑 탈락됐어용""}]"
978399,모던 바 알바 해 보신 분,오늘 8시에 면접 가기로 했는데 네이버 리뷰 없고요 무슨 일 하냐 물어보니까 손님들 이야기 들어 주는 일이래요 픽업도 해 준다는데 픽업은 보통 룸방 아가씨들이나 해 주는 거 아닌가요?… 스킨십이나 룸 들어가거나 옆에 앉는 게 있냐 물어보니 그런 거 전혀 없이 바 안에 서서 일하는 거라는데 해 보신 분 있으면 어떤지 알려 주세요,2025-01-31 17:32,"[{""comment_date"": ""2025-01-31 17:33"", ""comment_text"": ""만지작만지작,쪼물쪼물""}, {""comment_date"": ""2025-01-31 17:36"", ""comment_text"": ""잠수 타고 면접도 가지 말까요?""}, {""comment_date"": ""2025-01-31 18:21"", ""comment_text"": ""가지마세요...""}, {""comment_date"": ""2025-01-31 18:40"", ""comment_text"": ""그런일 하는 거 아니에요 스킨쉽 없어도 성 파는 일임... 돈 때문에 유혹이 온건 알겠는데 하지 마세요 나중에 나이 먹고 돌아보면 진짜 크게 후회합니다""}, {""comment_date"": ""2025-01-31 18:41"", ""comment_text"": ""그리고 그런데서 성범죄 당해도 신고 못해요....""}, {""comment_date"": ""2025-01-31 19:16"", ""comment_text"": ""할거면 룸 없이 바 테이블만 있는 곳에서 알바하세요""}, {""comment_date"": ""2025-01-31 20:53"", ""comment_text"": ""나 아는애가 남자들이랑 이야기하면서 술먹는데서 일했다고하던데 딸있는 돌싱이었는데 난 술을 아주 싫어해서 그냥 엣날에 직장들어온애가 그런일했대""}, {""comment_date"": ""2025-01-31 20:54"", ""comment_text"": ""술을먹으면서 이야기하는데라던데?""}, {""comment_date"": ""2025-02-01 00:55"", ""comment_text"": ""하지마라""}, {""comment_date"": ""2025-02-01 01:37"", ""comment_text"": ""룸방 아가씨들한테나 해준다는거알면서 왜 면접을 보려고 하시는지..""}]"
978397,근무 장소랑 거주지랑 멀면 잘 안뽑나요,대중교통 40분정도 걸리긴 하지만 같은지역 다른알바 다니면서 지각 결근 한적 한 번도 없어도 안좋아할까요…,2025-01-31 17:07,"[{""comment_date"": ""2025-01-31 17:17"", ""comment_text"": ""아니요. 물어보긴할터인데 지금 글쓴것처럼 다른곳 알바하시면서 지각이나 결근 한번도 한적없습니다. 어필하시면 되요~ 물론 사장이 알바생을 노예처럼 부릴 목적이라면 거주지랑 먼곳은 안뽑죠. 근데 그게 아니라면 시간만 잘지키면 다들 뽑아요~""}, {""comment_date"": ""2025-01-31 17:32"", ""comment_text"": ""40-45분 거리에서 3번 해봄.얼마나 걸리냐고 할때 n분 걸리지만,그정도 걸리는 곳에서 알바해봤다/이 근처에서 알바 자주 해봤다.(실제로 가로수길 근처에서 계속 했었어서)고 한다면 붙긴하라고요.""}, {""comment_date"": ""2025-01-31 18:02"", ""comment_text"": ""먼지날리듯 지나갑니다 ~~""}]"
978395,엠피알 컴퍼니 남동시범공단 인근화장품,남동시범공단인근 화장품 공장 여기 어떤가요?가보신분 있나요? 회사이름좀요 ~,2025-01-31 16:59,"[{""comment_date"": ""2025-01-31 21:44"", ""comment_text"": ""이런 마인드라면 그냥 지원하지말고 집에서 쉬세요 후기에 힘들다고 하면 어차피 안갈거잔아 쉬운곳만 차즐려는 사람들 그냥 집에서 푹 쉬세요 딴사람들한테 민폐주지말고""}]"
978392,같은 계열사 재입사 해보신분있으실까요?,SPC 계열사 던킨에서 파리크라상이라던지 등 .. 퇴사한지 얼마 안된상태에서요!,2025-01-31 16:50,"[{""comment_date"": ""2025-01-31 17:18"", ""comment_text"": ""궁금한게 몰까요?ㅎ""}, {""comment_date"": ""2025-01-31 17:32"", ""comment_text"": ""회사는 같은데 마침 다른 계열사 브랜드 공고가 있어. 같은 케이스같은 분이 계신가 해서요 ㅎ. (현재 퇴사상태)""}, {""comment_date"": ""2025-01-31 17:37"", ""comment_text"": ""그곳에서 일해보셨으니 아시겠죠?  Spc계열사도 직영점과 개인사업자인곳  있다는고... 같은 계열사여도 직영점과 개인사업자인곳은 복지, 급여 완전 극과극 차이입니다~""}]"
978387,kbs수신료콜센터,kbs수신료콜센터라고 공고 많이 올라오던데..혹시 근무해보신분 계실까요?영업없이 인바운드상담만 있다던데...,2025-01-31 16:21,"[{""comment_date"": ""2025-01-31 17:06"", ""comment_text"": ""콜센터 업무고 대부분 민원 관련 전화가 많이 오고 언론분야라 힘들듯 합니다. 다른 콜센터를 알아 보세요.""}]"
978385,이거 기업 본사에 신고? 해야 할까요,"올리브영 매장 알바1) 고객분들 다 있는 앞에서 가정교육 운운 (엄마가 오냐오냐 키워서 그러냐)2) 우리 매장 그만두고 나면 이 동네 올리브영에서 일 할 생각하지 마라 내가 이 동네 점장들한테 연락오면 님에 대해서 안 좋게 말할거다 정 하고 싶으면 먼 지역 가서 해라앞으로 올리브영에서 일 못하게 하겠다는 협박성 발언 (본인 주장으로는 이게 갑질이 아니라고 함)3) 알바생들에개 매달 20% 쿠폰이 발행 됨 이 쿠폰을 사용해서 매장에서 물건 구매하고 내가 내 돈 100원 내고 봉투 추가하겠다고 했으나 치사한 것 같아도 봉투는 들고 다니라고 함..4) 지역 올영 총 관리자분께서 매장에 와서 나의 행동과 말투를 지적하고 가셨다며, 내가 지적당한걸 생각하면 너무 화가 나서 참을 수 없다고 하심근데 그 관리자분이 오신 날은 내 근무날이 아니었음5) 나의 근무 시간이 아닌 다른 타임에 대타를 가게 되었음 다른 알바생 분들이 이거하면된다 알려주시는 거 했고 내가 그 타임이 처음이라는 걸 알아서 모르는 게 있으면 물어보라고 하셨음 일하던 도중에 점장님이 출근하셨고 매장에 고객님들이 그렇게 많은데 ”저 사람 할 줄 아는게 하나도 없다니까요~ 그낭 계산이나 시키는게 편해~“ 그러고는 저한테 ”님 꿀 빨면서 일하는거 이제 아셨어요? 다른 알바생들은 다 힘들게 일하면서 돈 버는데 님만 꿀 빨고 있었어요“ ㅋㅋ.. 참고로 전 마감 업무 90% 혼자 합니다6) 이거 외에도 이름표 코팅지 오리는데 님 이름 개떡같이 오리면 기분 좋겠어요? 이렇게 말 함 (전 개떡같이 오리지 않았어요 ^^)실적 압박 심함. 님 때문에 매출 떨어지면 책임 지실거에요? 이럼 인센티브 내가 받는 것도 아니고 매장 입구에서 고객님이 내가 있는 걸 보고 안들어오실까요? ㅋㅋㅋ제대로 멘트하고 도와드리고 있는데도 한숨쉬고 어깨 미는건 기본, 고객님과 이야기 나누며 제품 꺼내드리려 하는데 제 행동이 느리다며 점장급이 이런걸 해야 하냐고 고객님 앞에서 핀잔 고객님 당황행사 대상자에 포함되는지 분명히 여쭤보고 고객님이 아니라고 하셨는데 자기는 못 들었다며 박박 우기기, 집요하게 안 물어봤다며 일을 왜 그렇게 하냐 트집잡기일단 생각나는건 이정도인데 본사에 겪은 일 관련 컴플레인 넣어도 되는 부분일까요 다른건 몰라도 앞으로 올영에서 일 할 생각은 하지 말라는게 제일 어이없고 화나네요 말해놓고 아차 싶었는지 갑질 아니라고 하는게.. ㅋㅋㅋ",2025-01-31 16:10,"[{""comment_date"": ""2025-01-31 16:13"", ""comment_text"": ""이거 저번에도 본 글 같은데 일단 신고 해보시는데 아마 증거가 필요 합니다""}, {""comment_date"": ""2025-01-31 16:17"", ""comment_text"": ""글 다 읽어봤습니다만 2번은 믿고 거르세요. 같은 동네 아무데나 취직해도 협박성 멘트 통하는곳 없더라고요. 자기가 뭐라도 되는냥 남의집 귀한자식 일하러 왔는데 그렇게 하면 진짜 얼탱이가 없음ㅎㅎ고소도 가능합니다. 컴플레인 본사에 넣는것보다 그냥 한사람 고소하는게 빠를듯.""}, {""comment_date"": ""2025-01-31 16:40"", ""comment_text"": ""증거가 있어야 할거에요 ㅠㅠ 증거 수집해서 무조건 갑질로 신고해요!! 무슨 저런 사람도 점장이라고 ;;""}, {""comment_date"": ""2025-01-31 16:47"", ""comment_text"": ""몇개월 근무하셨나요? 윗 내용 녹음이나 문자 등등 증거 모움 하셨나요? 윗 내용이 다 증거가 있다면 형사소송과 민사소송 전부 할 수 있어요. 힘드시겠지만 꼭 증거 모움하시고 일자, 시간 다 기록하시면서 일기 꼭 쓰시고 6개월 이상 되신다면 꼭 법적조취 하셔요. 형사소송으로 그 직원 백마논정도의 과태료 처분을 받을수있고 민사로 본인 위자료  3백마논 정도 받을수있어요~ 그리고 회사에서도 조취 취하기에 징계 받습니다. 당하지마시고 꼭 이깁시다. 제가 해봐서 말씀드립니다. 소송 처음은 어려울수 있어요. 근데 한번 해보니까 별거 없고 저런 인간들은 벌 받아야해요.""}, {""comment_date"": ""2025-01-31 17:15"", ""comment_text"": ""저도 다 읽어봤는데 1.2번은 갑질이 맞네요....이동네 올리브영에서 일못하게 하겠다는걸 갑질이 아니라고 하는건 억지죠~무슨 근거로 갑질이 아니라고 하는건지....저게 갑질이 아니면 뭐가 갑질인가요....회사로 치면 직장내 갑질 수준이에요...추후애는 그런일 당하시면 녹취도 하시고 문자나 증거로 남길수 있는건 다 모으세요.... 증거 모아서 소송하시고 점장급이라는 그분 고소 진행하세요....자기가 점장도 아닌데 점장인것처럼 얘기하네여 어이가 없네~""}, {""comment_date"": ""2025-01-31 17:15"", ""comment_text"": ""갑질 심한 분에게 걸렸네요ㅜㅜ 그냥 잊으세요""}, {""comment_date"": ""2025-01-31 18:24"", ""comment_text"": ""반갑습니다.똑같은 사건 경험자로서≪ CJ 제보 매뉴얼≫ 알려드립니다. 먼저≪ 올리브영 고객센터≫에 전화해서 그동안의 사정 설명을 요점만 찝어서 설명하세요 . 이 자체가 센터 자동녹음으로 본사 조사든 경찰 조사든 증거자료로 활용 될수 있습니다.그리고 고객센터에 관련 부서(cj인사팀or 해당 지역 슈퍼바이저 매니저)와의 통화 연결 부탁하세요. 여기서 끝이 아닙니다. 마지막으로 반드시 해야할 과정은 일단 구글에 ≪올리브영 온라인 제보≫검색하고 공식페이지 접속해서 제보 하세요.사안이 심각한거 같은데 이거 꼭 해야됩니다. (육하원칙 맞춰서 간결하게 작성하세요) .되도록 ≪실명제보≫해주셔야 조사과정을 투명하고 확실하게 알수있습니다. ≪Cj 인사팀 담당자 및 서기 직원 애들 ≫이 연락드릴꺼구요. 오프라인으로 서울역 CJ본사 건물 카페같은데서  미팅 하자고 할수도 있으니 본인이 알아서 수락하시든 어쩌든 하면 됩니당~~본사 통해서 하면 일처리 깔끔합니다.본사에서 가해자한테 조사 나갈텐데 가해자한텐 그 자체가 압박이고 개망신이고 가장 효과적인 위협 입니다. 핏줄과 똥줄이 마를겁니다. 가해자가 점장이나 트레이너 라면 더더욱. ..(아마 이 모든 과정들 올영 고객센터애서 똑같이 알려줄겁니다. 될수있으면 빨리 제보 하는게 이득입니다. 모든 과정 총 한달 내지 두달 정도로 완료 됩니다. 반대로 말하면 가해자 정신병 걸리게 만드는 한달 두달의 기간이 된다눈 거죠 !! 건승을 빕니다!!!)""}, {""comment_date"": ""2025-01-31 23:20"", ""comment_text"": ""이건 꼭 하세요 ! 이런 잡것들은 정말로 모조리 없애야 합니다 ! 저는 법적으로 저의 사장새끼를 한방에  보내버림 ^^ 일단 증거 모아 넣는데 최선 입니다 ^^  녹음. 빼도 박도 못하는  녹음 .음성 녹음 \n여러개 하면 제일 좋습니다 ! 갑질 하는거. 이건 경찰에 신고 해도 모욕죄에 성사됩니다 ! 꼭 이기시길 빕니다 ! 이바닥에 발을 못 들여놓겟다 ! 그런건 그사람이나 할것 같은데 ~ 꼭 이기길 바라겟 습니다 ! 건승하세요 ~ 좋은 소식 기다리겟습니다 ! 중도 포기 하지마시고 꼭 끝까지 싸워 이기세요 화이팅 !""}]"
978384,상여 높아서 지원했는데,이력서 합격했다고 이렇게 보내놓고품질부서만 남아있으세요.전화로 이러네.이러면 필름회사가서 앉아서 일하지.뭣하러 뺑뺑이 돌리는 품질부서 가냐.깐깐하게 봐놓고 이러면 화딱지 남.부서별로 재확인검사 전산입력 엑셀 이런거할바엔 서비스업가지.아. 근데 진짜 일자리가 없네요.,2025-01-31 16:10,"[{""comment_date"": ""2025-01-31 16:40"", ""comment_text"": ""요기 지역이 어디에요? 내가 다녔던 지역이라면 기기 맞는데 복지 좋고 일은 쉽고 편해서 좋았음ㅎ""}, {""comment_date"": ""2025-01-31 16:46"", ""comment_text"": ""다른데도 보면 항상 육안검사만 남아있음""}, {""comment_date"": ""2025-01-31 17:18"", ""comment_text"": ""아웃소싱만 찾으니 없는거네요""}]"
978382,회사들 이력서 겁나게 안보네,회서에서 알바생 구하기 위해서 공고를 올렸으면열람을 해야 할 거 아니야??? 공고만 올리고선왜 열람을 안하냐?? 그렇다고 지원자가 회사에연락 할 필요는 없는거지 사람이 필요한 곳은 회사 및기업인 이상 회사나 기업이 알아서 채용 처리를 해야지공고만 올리고 보지도 않네 이거,2025-01-31 16:01,"[{""comment_date"": ""2025-01-31 17:19"", ""comment_text"": ""이력서만 보고 그냥 패스하는 회사도 많은데요 이력서 봤다고 끝이 아니에요 아시다시피 서류전형 통과해야 면접기회가 생깁니다~""}, {""comment_date"": ""2025-01-31 21:44"", ""comment_text"": ""mor//이력서를 봐야 면접을 보든 말든 하지요 이력서 조차 보지도 않으면 면접 기회 자체도 없지요 일단 열람을 하는게 먼저고 면접 보는 건 그 이후의 문제임""}]"
978381,한줄톡,주말 알바생인데 주중 근무 대타를 해서 15시간 이상 근무를 했어요. 그럼 주휴 포함 되어야 하는게 맞지않나요? 대타근무는 원래 주휴 미포함인가요?,2025-01-31 15:49,"[{""comment_date"": ""2025-01-31 22:27"", ""comment_text"": ""대타는 포함 안돼요""}]"
978379,ㅋㅍ 리빈을 못하는데 그만둘까,계약직 일한지 일주일 됫는데리빈 하루 해봣는데시작한지 세시간 됫는데 안맞는게 6개나 되고내가 못하면 그만두는게 맞는거지폐만 끼치는거 같다ㅠㅠ,2025-01-31 15:12,"[{""comment_date"": ""2025-01-31 15:29"", ""comment_text"": ""처음엔 그러다가 적응될걸 ? 정 힘들면 너무 틀리고 안맞는거 같다고 옮겨달라고 요청해봐""}, {""comment_date"": ""2025-01-31 15:29"", ""comment_text"": ""근데 쿠팡은 단순 업무긴 해서 적응만 잘하면 금방 할듯""}, {""comment_date"": ""2025-01-31 17:16"", ""comment_text"": ""휴..... 리빈 힘들죠 햇갈리고 ..사람이니 실수 할 수 있는거에요 힘내세요""}, {""comment_date"": ""2025-01-31 22:14"", ""comment_text"": ""맨날 할거도 아니고 일주일 ? 들은 이것저것 경험해보는고지요""}, {""comment_date"": ""2025-01-31 22:15"", ""comment_text"": ""ob같으신데 집품이나 포장할때나 오류안나게 잘하삼""}, {""comment_date"": ""2025-01-31 22:17"", ""comment_text"": ""대단한업무는 당연아니지만 순간센스가 필요한업무임""}]"
978378,채용진행알림,알바를 여러개 지원햇는데 다 열람햇는데 막상 이력서 열람 했다고 채용진행알림이 하나만 왔는데 이건 어떤거죠? 다 열람햇능데 안오는것도 잇나요?,2025-01-31 15:08,"[{""comment_date"": ""2025-01-31 17:22"", ""comment_text"": ""회사가 이력서를 열람했다고 다 연락하진 않죠 서류전형 통과자에 한해 진행합니다....그렇게 따지면 50개 넘게 지원한 저는 지금쯤 면접전화 받느라 정신없어야 정상임""}, {""comment_date"": ""2025-01-31 17:51"", ""comment_text"": ""것도  본청서 컨펌들어가야 하는듯요""}]"
978377,군포물류는 당일취소 남발하는 곳임.,"CJ택배(주간분류, 야간상하차) 말고는죄다 당일취소 남발하는 곳임",2025-01-31 15:07,"[{""comment_date"": ""2025-01-31 15:09"", ""comment_text"": ""네 일용직다음이요""}, {""comment_date"": ""2025-01-31 16:21"", ""comment_text"": ""야간상하차여자들시키자.합숙도시키고숙식제공여자들그럼나도열심히할텐데여자들하고공짜로같이살붙이끼며일하게해주는데.여자가튼여자기생충지방근육돼지들말고아내가고아원출신인데나땐좋았는데이성동성들끼리아주잘지냈음.고아원장님외조교들""}]"
978376,써밋앰버서더,브랜드판촉대행이라던데 여기 일해보신분 있나요 어떤지 궁금해요,2025-01-31 14:57,"[{""comment_date"": ""2025-01-31 16:16"", ""comment_text"": ""궁금하면전화해보면되죠 여기는 왜 대체 해보신분 계신가요 알려주세요. 이러고들있을까...본인들이 궁금하시면 직접뛰면되죠""}]"
978375,편의점 알바 수습기간 있나요,알바를 처음 구해본 20살입니다 첫 알바로 편의점을 다니게 되었는데 점장님께서 따로 말씀 없으셨으면 수습기간은 없다고 봐도 될까요?재학하면서 알바를 한번도 못해봐서 완전 무경력이라 당연히 수습기간 급여를 받을 줄 알고 있었는데 찾아봤더니 1년 이상 근로계약이 되어있어야 고용측에서 수습기간 급여를 줄수있다고 하더라고요종료일은 따로 정하지 않고 근로 계약서를 작성했습니다 그럼 그냥 수습기간 없이 일반 시급으로 계산하면 되는 걸까요? 잘 몰라서 여쭙습니다ㅠ,2025-01-31 14:41,"[{""comment_date"": ""2025-01-31 14:45"", ""comment_text"": ""점장한테 물으세요. 개인사업자라 매장마다 다릅니다.\n여기서 100명이 댓글로 수습없다고 하는데 점장이 있다하면요? 그 반대는? 첫알바시니 모를수있다봅니다.""}, {""comment_date"": ""2025-01-31 14:46"", ""comment_text"": ""다른시간대 알바생들한테 수습기간 있는지 있으면 시급은 얼마인지 월급날은 언제인지 물어봐 ㅋㅋ 케바케인데 완전 초짜는 한달정도 수습기간있던데ㅋㅋ 일부악덕업주는 3개월까지 수습기간으로 해서 알바비 후려침 ㅋㅋ""}, {""comment_date"": ""2025-01-31 15:47"", ""comment_text"": ""단순한 노무직은 수습기간 앖습니다""}, {""comment_date"": ""2025-01-31 15:56"", ""comment_text"": ""앞/뒤 타임한테 수습기간으로 급여 덜 받은적 있냐고.\n단순노무는 없다고 하는데,우리집 근처는 1곳은 3달이라고 공고에 적은곳 있더라.수습급여 있다면 공고에 같이 써 놓은곳이 많아서,없었다면 최저 다 줄거임.""}, {""comment_date"": ""2025-01-31 17:25"", ""comment_text"": ""근로계약서에 수습기간명시가 따로 안되어 있다면 수습기간 없다고 보시면됩니다. 근로 종료일이 없기때문에 정규직이라 보시면되고 근로계약서에 시급으로 급여준다고 되어있다면 시급으로 계산하시면 됩니다~""}]"
978374,세일즈웍스코리아 일해보신 분 있으신가요?,제대로 된 설명도 없었는데 채용담당자분께서도 통화할 때 팝업스토어 행사 스텝이라길래 면접 보고 들어갔는데 생각했던 일이랑 다르더라구요. 첫 직장?이라 버텨봐야지 하는 생각으로 2주정도 했는데 후원취소했다고 돈 달래요. 일해보신 분들은 돈 드렸나요??? 안 드리면 어케 되는지.. 후기가 없어서 모르겠어요,2025-01-31 14:41,"[{""comment_date"": ""2025-01-31 17:31"", ""comment_text"": ""거기 다단계라고 본 것 같아요""}]"
978373,대전 유성 홈플러스 ㅍㅅㅁ 매니저폭언함 조심하길,한달 일했는데 이전에 카페 경험 많이 없다는거 알고 뽑았으면서 하나하나 지적하고 욕설까지는 아니지만 느려터졌다고 질책하고 모욕해서 한달만에 나왔네요일하는거 맘에 안들면 빨리 잘라도 되는데 폭언은 좀 아니죠 ㅋㅋ저보고 앞으로 어딜가도 금방 잘릴거라고 비아냥거리면서 한숨쉬고 하대하던데 내가 이런 취급 받아야하나 싶었습니다진짜 여러군데 일해봤지만 이런 사람은 처음 봤네요,2025-01-31 14:20,"[{""comment_date"": ""2025-01-31 16:39"", ""comment_text"": ""여기 정신나간 댓글들 무시하시고 녹취해서 노동부에 신고하세요. 여기 정신이상자들 왜이리 많음?""}, {""comment_date"": ""2025-01-31 17:25"", ""comment_text"": ""직장내에서 폭언 금지인데....욕설 금지....폭언도 금지에요....차라리 같이 못한다 얘기하고 정중하게 서면상으로 해고했음 깔끔하게 끝났을거를....폭언한거 녹음하시지 그러셨어요....앞으로는 부당한 대우 받으시면 증거수집해서 노동부 신고하세요""}]"
978371,편의점대타,이틀정도 빠져야하는데 점장님께 빠지게되어서 대타 구해달라해야하나요? 당근마켓 같은 곳에서 구하면 그 업장에서 일하는 사람이 아닌데 대타써도 되나요?,2025-01-31 14:07,"[{""comment_date"": ""2025-01-31 14:08"", ""comment_text"": ""점장님께 말씀드려야 해요...""}, {""comment_date"": ""2025-01-31 14:43"", ""comment_text"": ""같이 근무하는 근무자님께 부탁드려봐야죠.""}, {""comment_date"": ""2025-01-31 14:47"", ""comment_text"": ""대타 직접구하려면 점장 허락먼저.\n점장이 구한다면 그냥 놔두면됩니다.\n먼저 대타 본인이 구한다고 말하지마시고""}]"
978370,군포 네이버물류도 당일취소 많은가요...,쿠팡 자꾸 팅겨서군포라도 가야될 거 같은데...,2025-01-31 13:47,"[{""comment_date"": ""2025-01-31 14:08"", ""comment_text"": ""지원 해보세요...""}, {""comment_date"": ""2025-01-31 14:14"", ""comment_text"": ""소싱이 어디냐에 따라 틀려요""}]"
978369,아웃소싱 소득신고 언제쯤하나요?,일당으로받앗지만 그래도 여럿아웃소싱에서 다녓는데하루일한것도 소득신고 해주나요?,2025-01-31 13:43,"[{""comment_date"": ""2025-01-31 13:49"", ""comment_text"": ""하루도 소득신고는 무조건해야 불법이 아닙니다. 1월근무하셨으면 3월에 확인가능하십니다~ 세금신고가 빠른 업장은 2월 16일정도에 확인가능합니다. 확인은 국세청 홈택스에서 가능합니다~""}, {""comment_date"": ""2025-01-31 14:15"", ""comment_text"": ""힘내님~~감사합니다! 혹시 아웃소싱에서 소득신고안해주면 해달라고 해도되는건가요?""}, {""comment_date"": ""2025-01-31 14:23"", ""comment_text"": ""네 해달라고 말씀드리면되요~ 근로계약서 가지고 계신다면 사업자번호가 있을꺼예요. 그거로 본인이 홈택스에서 역신고도 가능합니다~ 세금 얼마떼셨나요? 0.9프로 떼셨으면 일용직으로 신고되어있고 3.3프로면 개인사업자로 신고되어 있을꺼예요~ 홈택스에서 보는창이 다르니 세금 얼마떼셨는지 확인하셔요~""}, {""comment_date"": ""2025-01-31 14:52"", ""comment_text"": ""소득신고 안하고  낼럼 하는인간덜 있음....\n소득신고 안한넘들 신고해버리삼  벌금맞게""}, {""comment_date"": ""2025-01-31 15:05"", ""comment_text"": ""세금은 떼고 들어오는곳있고 안떼고들어오는곳이 있더라구요.보통 일했던달 한두달뒤에 소득신고해주는건가요?? 댓글 감사합니다""}, {""comment_date"": ""2025-01-31 15:07"", ""comment_text"": ""007님~ 근로계약서가 있어야 신고할수있나요?""}, {""comment_date"": ""2025-01-31 15:25"", ""comment_text"": ""해주지않아요.이년계약직으로다닌회사도년말정산본인이해야한다고해서은행도가보고다해봐야해요.시도라도""}, {""comment_date"": ""2025-01-31 15:46"", ""comment_text"": ""근로소득신고는 본인이 못한다고하던데요...아닌가요?""}, {""comment_date"": ""2025-01-31 17:01"", ""comment_text"": ""3.3% 소득신고 되있을거예요.""}, {""comment_date"": ""2025-01-31 17:02"", ""comment_text"": ""일용근로소득은 탈세가 많이 되기에 근로자가 역신고 할수있게 홈택스에서 가능하게 되어있습니다~ 저도 많이 역신고해봐서 알려드리는거예요~ 다만 사업자번호를 알고 계셔야합니다~ 근로계약서가 있다면 사업자번호와 사업자주소확인이 쉽기때문에 신고가 유리하고요. 근로계약서가 없어도 사업자번호 알고 계시면 신고 가능합니다~ 근로계약서는 2장을써서 1장은 근로자, 1장은 사업주가 갖는건데요. 이부분 잘 안지켜지는 곳이 있을꺼예요. 저도 알바해보니 안지키는곳 많더라고요. 저는 그럴때 사업주한테 말씀드려요. 사장님 저 근로계약서 사진 찍어도 되나요? 그러면 어떤사장님은 네 찍어도되요 그러신분들있고~ 어떤사장님은 복사해서 드릴꺼예요.하고 복사해주시는 분들도 계시고 그래요~ 안주면 과태료부분인지라 달라고하거나 사진찍는다하니 다 해주더라고요~ 계약하는데있어서 의문이 있는 부분있다면 바로바로 말씀하셔요~ 그게 서로 편해요~""}, {""comment_date"": ""2025-01-31 17:13"", ""comment_text"": ""신고기한 알려드릴께요. 고용산재는 익월 15일까지이고, 소득세는 익월 말일까지입니다. 그런데 따로따로 신고하기 귀차나서 15일에 한꺼번에 하는곳도 많습니다. 또 정규직이신분들..4대보험가입자분들은 건강과 국민이 익월 10일까지라서 조금더 빨리 세금신고 한꺼번에 할 뿐입니다. 그래서 근로자는 1월에 근무가 2월 16일에 고용산재 확인이 되겠쥬? 모두 컴터로 확인이 되요~ 홈택스도 들가보시고 고용산재토탈서비스 사이트도 들가보시고 건강보험사이트도 들가서 내정보들 확인들 해보셔요~ 다 언제 어느회사서 가입되고 상실되었는지 확인이 되요. 귀차나하지말고 꼭 확인해보셔요. 자주 확인하다보면 이것저것 자세히 알게되는것들도 있어요~""}]"
